# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.651955256758e-10       7.655480822157e-15       2.369424193199e-13       0.000000000000e+00       8.399699405502e-11       8.766250763385e-12      -1.048886660795e-14 
   41       1.676785921409e-10       8.315603583300e-15       2.277016793286e-13       0.000000000000e+00       7.983851174947e-11       8.370979530756e-12      -9.936175819658e-15 
   42       1.701831747232e-10       9.011981659477e-15       2.170376360957e-13       0.000000000000e+00       7.595550539441e-11       8.000483707770e-12      -9.767330937654e-15 
   43       1.727147198348e-10       9.745170868719e-15       2.049526526874e-13       0.000000000000e+00       7.232480501234e-11       7.655049523602e-12      -9.927106338115e-15 
   44       1.752721166790e-10       1.051563157425e-14       1.914014108706e-13       0.000000000000e+00       6.892560645902e-11       7.330004076819e-12      -1.033006039577e-14 
   45       1.778460697773e-10       1.132368253949e-14       1.763542938185e-13       0.000000000000e+00       6.573919218168e-11       7.025613247525e-12      -1.076962911412e-14 
   46       1.804498583889e-10       1.216955642544e-14       1.597301091933e-13       0.000000000000e+00       6.274869279370e-11       6.739060459194e-12      -1.109074413485e-14 
   47       1.830796343366e-10       1.305350834987e-14       1.414160660743e-13       0.000000000000e+00       5.993885677792e-11       6.468136572047e-12      -1.119767596080e-14 
   48       1.857246816497e-10       1.397584029989e-14       1.213745985144e-13       0.000000000000e+00       5.729589590852e-11       6.211802506247e-12      -1.107517661726e-14 
   49       1.884017896849e-10       1.493690638337e-14       9.956308928106e-14       0.000000000000e+00       5.480728194395e-11       5.969714536814e-12      -1.078026948022e-14 
   50       1.911052377410e-10       1.593709109979e-14       7.593456721658e-14       0.000000000000e+00       5.246163048846e-11       5.741841715182e-12      -1.040020206029e-14 
   51       1.938274724024e-10       1.697673305471e-14       5.051265518754e-14       0.000000000000e+00       5.024859449213e-11       5.526736688022e-12      -1.004149708158e-14 
   52       1.965771016660e-10       1.805604490783e-14       2.333517311529e-14       0.000000000000e+00       4.815871500085e-11       5.322559874200e-12      -9.789670642815e-15 
   53       1.993529436711e-10       1.917512853790e-14      -5.581566244692e-15       0.000000000000e+00       4.618337216401e-11       5.128053444679e-12      -9.690952909633e-15 
   54       2.021563145626e-10       2.033402194207e-14      -3.624007429853e-14       0.000000000000e+00       4.431466032798e-11       4.943574870813e-12      -9.726512543191e-15 
