# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652918435631e-10       7.724420832230e-15       2.367507197207e-13       6.940375684193e-17       8.399699405502e-11       8.766250763385e-12      -1.048886660795e-14 
   41       1.677789370845e-10       8.387972938392e-15       2.274960930142e-13       7.292065680107e-17       7.983851174947e-11       8.370979530756e-12      -9.936175819658e-15 
   42       1.702875971568e-10       9.087855950738e-15       2.168178081669e-13       7.652586472886e-17       7.595550539441e-11       8.000483707770e-12      -9.767330937654e-15 
   43       1.728232657032e-10       9.824624426117e-15       2.047182545507e-13       8.021937612176e-17       7.232480501234e-11       7.655049523602e-12      -9.927106338115e-15 
   44       1.753848303521e-10       1.059873741624e-14       1.911521669246e-13       8.400117801277e-17       6.892560645902e-11       7.330004076819e-12      -1.033006039577e-14 
   45       1.779629983426e-10       1.141051235290e-14       1.760899805963e-13       8.787124951400e-17       6.573919218168e-11       7.025613247525e-12      -1.076962911412e-14 
   46       1.805710401517e-10       1.226018052631e-14       1.594505900122e-13       9.182956239120e-17       6.274869279370e-11       6.739060459194e-12      -1.109074413485e-14 
   47       1.832051074054e-10       1.314799558643e-14       1.411213201918e-13       9.587608165023e-17       5.993885677792e-11       6.468136572047e-12      -1.119767596080e-14 
   48       1.858544883308e-10       1.407425793257e-14       1.210646905461e-13       1.000107661777e-16       5.729589590852e-11       6.211802506247e-12      -1.107517661726e-14 
   49       1.885359604545e-10       1.503931995073e-14       9.923817956998e-14       1.042335694113e-16       5.480728194395e-11       5.969714536814e-12      -1.078026948022e-14 
   50       1.912438040801e-10       1.604356428748e-14       7.559492272122e-14       1.085444400695e-16       5.246163048846e-11       5.741841715182e-12      -1.040020206029e-14 
   51       1.939704687096e-10       1.708732760834e-14       5.015861040039e-14       1.129433229073e-16       5.024859449213e-11       5.526736688022e-12      -1.004149708158e-14 
   52       1.967245546676e-10       1.817082060397e-14       2.296712142510e-14       1.174301595174e-16       4.815871500085e-11       5.322559874200e-12      -9.789670642815e-15 
   53       1.995048784527e-10       1.929414315561e-14      -5.963155941907e-15       1.220048891240e-16       4.618337216401e-11       5.128053444679e-12      -9.690952909633e-15 
   54       2.023127530368e-10       2.045733120955e-14      -3.663464030077e-14       1.266674494066e-16       4.431466032798e-11       4.943574870813e-12      -9.726512543191e-15 
   55       2.051424102631e-10       2.166028944981e-14      -6.903159186442e-14       1.314177773110e-16       4.254534848138e-11       4.769420558148e-12      -9.844863621024e-15 
   56       2.079951570455e-10       2.290278906536e-14      -1.031403524018e-13       1.362558098800e-16       4.086879791042e-11       4.605201486306e-12      -9.975565488263e-15 
   57       2.108836253210e-10       2.418456743709e-14      -1.390265484869e-13       1.411814850585e-16       3.927889756911e-11       4.449695757831e-12      -1.005197383824e-14 
   58       2.137954598825e-10       2.550532476560e-14      -1.767357491064e-13       1.461947425235e-16       3.777003550944e-11       4.300325783461e-12      -1.006922171706e-14 
   59       2.167276959096e-10       2.686471608516e-14      -2.162505991618e-13       1.512955244998e-16       3.633703839130e-11       4.157374319340e-12      -9.984184601680e-15 
   60       2.196948417236e-10       2.826238174248e-14      -2.575979109284e-13       1.564837765998e-16       3.497512797854e-11       4.021075925549e-12      -9.807629738389e-15 
   61       2.226895576804e-10       2.969794116451e-14      -3.007994273111e-13       1.617594486476e-16       3.367989039714e-11       3.890639118181e-12      -9.625422185986e-15 
   62       2.257097236368e-10       3.117099663134e-14      -3.458297884713e-13       1.671224955288e-16       3.244724909465e-11       3.767370382440e-12      -9.435579613212e-15 
   63       2.287611888902e-10       3.268107038504e-14      -3.926612740063e-13       1.725728780208e-16       3.127342103710e-11       3.650227754796e-12      -9.290698862742e-15 
   64       2.318374519729e-10       3.422755207432e-14      -4.412405674372e-13       1.781105636352e-16       3.015490783992e-11       3.538286324157e-12      -9.210882938810e-15 
   65       2.349445150817e-10       3.580978583201e-14      -4.915392747134e-13       1.837355274199e-16       2.908845374501e-11       3.431052371794e-12      -9.177030561546e-15 
   66       2.380866211469e-10       3.742706746949e-14      -5.435747875413e-13       1.894477527727e-16       2.807104276948e-11       3.327892766670e-12      -9.189043994667e-15 
   67       2.412516023393e-10       3.907856526713e-14      -5.973087079929e-13       1.952472322153e-16       2.709986163855e-11       3.229127356373e-12      -9.203659447350e-15 
   68       2.444446891945e-10       4.076337533250e-14      -6.526993447274e-13       2.011339681686e-16       2.617229969730e-11       3.134853266170e-12      -9.197171333918e-15 
   69       2.476745160661e-10       4.248054908635e-14      -7.097733514115e-13       2.071079736784e-16       2.528591672215e-11       3.044653935609e-12      -9.169220497953e-15 
   70       2.509316003082e-10       4.422907499362e-14      -7.685285398683e-13       2.131692731521e-16       2.443844238018e-11       2.958680310896e-12      -9.077733791050e-15 
